Content,Video title,Video publish time,Impressions,Impressions click-through rate (%),Views,Average view duration,Watch time (hours)
vbTP_cz3pHg,[LIVE] FUN MATCH MOBILE LEGENDS - SMK HUTAMA VS RICEBOX RANGERS | ESPORTS TRANS7,"May 11, 2023",6887,5.02,735,0:08:56,109.5283
KfsizAi7T68,[LIVE] FUN MATCH MOBILE LEGENDS - DETIK.COM VS PANASONIC | ESPORTS TRANS7,"Dec 29, 2022",35376,1.65,733,0:03:12,39.2706
FqP1XZln07g,FUN MATCH MOBILE LEGENDS ESPORT7 #esport7official #mobilelegends #funmatch,"May 19, 2023",407,3.44,726,0:00:16,3.3986
_MrRh3E6InA,[LIVE] FUN MATCH MOBILE LEGENDS - DETIKCOM VS SENSEI SHORI | ESPORTS TRANS7,"Mar 18, 2023",10755,5.02,723,0:03:24,41.1662
vnA4IoTIbSU,[LIVE] FUN MATCH MOBILE LEGENDS - CNN.COM VS METRO TV | ESPORTS TRANS7,"Jan 18, 2023",12522,3.93,698,0:03:37,42.1309
kizkhOg4Ohc,[LIVE] FUN MATCH MOBILE LEGENDS - MOLA TV VS TRANSTV | ESPORTS TRANS7,"Jan 19, 2023",10383,4.32,690,0:06:42,77.0537
heCBjp76kOs,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS RANS ESPORT | ESPORTS TRANS7,"Dec 30, 2022",12462,4.2,685,0:02:41,30.6521
dRfNSGUrLiI,[LIVE] FUN MATCH MOBILE LEGENDS - RECOFFEERY VS CNN INDONESIA | ESPORTS TRANS7,"Mar 9, 2023",11915,4.09,677,0:07:32,85.1399
rVv8UDaGBDo,[LIVE] FUN MATCH MOBILE LEGENDS - KINCIR VS SENSEI COMPANY | ESPORTS TRANS7,"Feb 3, 2023",13924,2.15,644,0:06:20,67.9231
PBqJ5_0hu2Y,[LIVE] FUN MATCH MOBILE LEGENDS - TRANSVISION VS MEDIA GROUP NETWORK | ESPORTS TRANS7,"Jan 28, 2023",9142,4.08,633,0:09:26,99.5868
S8GjAhEfAgg,[LIVE] ESPORT7 RAMADAN CUP 2023 MOBILE LEGENDS - SEMIFINAL UPPER BRACKET,"Mar 30, 2023",8593,5.32,605,0:08:53,89.6468
uggrNppamew,[LIVE] FUN MATCH MOBILE LEGENDS - NTMC POLRI VS DETIKCOM | ESPORTS TRANS7,"Feb 7, 2023",9929,4.2,598,0:07:39,76.3426
9TvS_lwnYGk,[LIVE] FUN MATCH MOBILE LEGENDS - KOMPAS TV VS T7 ESPORT | ESPORTS TRANS7,"Jan 11, 2023",19454,2.58,589,0:01:54,18.7241
8eFe85QiLP8,[LIVE] FUN MATCH MOBILE LEGENDS - DETIKCOM VS T7 ESPORT | ESPORTS TRANS7,"Jan 31, 2023",5962,7.15,577,0:03:28,33.4838
fIHxub3O5_0,[LIVE] FUN MATCH MOBILE LEGENDS - INDIHOME TV VS T7 ESPORT | ESPORTS TRANS7,"Feb 1, 2023",14081,2.39,569,0:10:52,103.1947
oOsTcP43J7U,[LIVE] FUN MATCH MOBILE LEGENDS - NTMC POLRI ESPORT VS T7 ESPORT | ESPORTS TRANS7,"Feb 2, 2023",17989,2.03,568,0:06:52,65.0114
wP3oYMjH2QQ,[LIVE] FUN MATCH MOBILE LEGENDS - DETIKCOM VS CNBC TV | ESPORTS TRANS7,"Jan 17, 2023",15081,2.49,568,0:04:35,43.4496
5Rp_cKM7yho,[LIVE] FUN MATCH MOBILE LEGENDS - RRQ AC NAMIE VS T7 ESPORT | ESPORTS TRANS7,"Jan 6, 2023",8715,3.37,549,0:04:34,41.9187
NKRhspD9JOk,[LIVE] FUN MATCH MOBILE LEGENDS - SEATODAY TV VS T7 ESPORT | ESPORTS TRANS7,"Jan 7, 2023",13836,2.45,527,0:05:12,45.7069
tHnEWIRxZXk,[LIVE] FUN MATCH MOBILE LEGENDS - TRANSVISION VS MOLA TV | ESPORTS TRANS7,"Jan 27, 2023",6629,4.63,526,0:04:47,41.9487
A77QtKd3Dqs,ESPORT7 RAMADAN CUP 2023 MOBILE LEGENDS - DETIKCOM YORU #mobilelegends #ramadan #esport7official,"Apr 14, 2023",1163,2.41,525,0:00:12,1.8845
CyWfiqBi4iA,[LIVE] FUN MATCH MOBILE LEGENDS - TELKOM UNIVERSITY VS SENSEI.COMPANY | ESPORTS TRANS7,"Feb 11, 2023",7373,4.72,519,0:04:05,35.3881
CoM_xsJKDnQ,[LIVE] FUN MATCH MOBILE LEGENDS - MEDIA GROUP NETWORK VS T7 ESPORT | ESPORTS TRANS7,"Feb 7, 2023",5105,6.11,499,0:08:36,71.5818
o9qBAp-9JXs,[LIVE] FUN MATCH MOBILE LEGENDS - TRIBUNNEWS.COM VS CNN IND COM | ESPORTS TRANS7,"Jan 26, 2023",7079,5.35,491,0:04:18,35.2521
tFl2azPD_q8,[LIVE] FUN MATCH MOBILE LEGENDS - TOJOS GAMING VS TRANSTV | ESPORTS TRANS7,"Feb 10, 2023",5451,5.96,491,0:05:31,45.1794
hRbhqGr9d34,[LIVE] FUN MATCH MOBILE LEGENDS - BPJS VS T7 ESPORT | ESPORTS TRANS7,"Jan 28, 2023",6989,4.18,486,0:07:08,57.9089
UMxCTW4zqoA,Esports7 Arena Ramadan Series 2023 [Mobile Legends:Bang Bang],"Apr 4, 2023",5583,5.66,483,0:07:54,63.6269
4ftfFExhqfM,[LIVE] FUN MATCH MOBILE LEGENDS - SARIAGRI.ID VS T7 ESPORT | ESPORTS TRANS7,"Feb 10, 2023",8421,3.57,481,0:07:04,56.6636
3Ay27USnNKg,[LIVE] FUN MATCH MOBILE LEGENDS - CNBC IND TV VS KOMPAS TV | ESPORTS TRANS7,"Jan 25, 2023",7587,4.63,469,0:07:12,56.3181
JXLMYmvqDN4,[LIVE] FUN MATCH MOBILE LEGENDS - RANS ESPORT VS DETIK.COM | ESPORTS TRANS7,"Jan 6, 2023",10095,3.23,455,0:06:36,50.1321
mwMbUC9Ugk4,[LIVE] FUN MATCH MOBILE LEGENDS - T7 ESPORT VS DETIK.COM | ESPORTS TRANS7,"Dec 24, 2022",13757,2.38,453,0:04:58,37.3567
oM24TPG9wmY,FUN MATCH MOBILE LEGENDS  - T7 ESPORT VS CNN.COM | PART 2 | ESPORTS TRANS7,"Dec 31, 2022",17105,2.02,435,0:01:23,10.1232
eP0QZvrBgoM,[LIVE] FUN MATCH MOBILE LEGENDS - {ESPORT7 VS CNBC IND} - {ESPORT7 VS RECOFFEERY} | ESPORTS TRANS7,"May 18, 2023",5794,5.82,429,0:07:04,50.5917
2h9H6Geki_I,[LIVE] FUN MATCH MOBILE LEGENDS - REVIVAL TV VS T7 ESPORT | ESPORTS TRANS7,"Jan 27, 2023",5715,4.71,402,0:05:50,39.1241
bZ0wU8WAALQ,FUN MATCH MOBILE LEGENDS  - T7 ESPORT VS KINCIR | ESPORTS TRANS7,"Dec 26, 2022",11649,2.83,400,0:01:46,11.8291
nUwtFWEIV30,[LIVE] FUN MATCH MOBILE LEGENDS - CNBC TV VS T7 ESPORT | ESPORTS TRANS7,"Jan 18, 2023",5629,5.19,399,0:04:26,29.55
3lneBMEyABg,[LIVE] ESPORT7 RAMADAN CUP 2023 MOBILE LEGENDS - QUARTER FINAL LOWER BRACKET,"Apr 6, 2023",7326,4.15,394,0:06:58,45.7661
